Sample ID,Cell line,Sorting,Treatment,Treatment time,Input
A1,1LHON,0,0,0,DNA
A2,2LHON,0,0,0,DNA
A3,3LHON,0,0,0,DNA
A4,1Silent,0,0,0,DNA
A5,2Silent,0,0,0,DNA
A6,3Silent,0,0,0,DNA
A7,1LHON,HIGH,0,0,DNA
A8,2LHON,HIGH,0,0,DNA
A9,3LHON,HIGH,0,0,DNA
A10,1Silent,HIGH,0,0,DNA
A11,2Silent,HIGH,0,0,DNA
A12,3Silent,HIGH,0,0,DNA
B1,1LHON,LOW,0,0,DNA
B2,2LHON,LOW,0,0,DNA
B3,3LHON,LOW,0,0,DNA
B4,1Silent,LOW,0,0,DNA
B5,2Silent,LOW,0,0,DNA
B6,3Silent,LOW,0,0,DNA
B7,1LHON,HIGH,GLU,5,DNA
B8,2LHON,HIGH,GLU,5,DNA
B9,3LHON,HIGH,GLU,5,DNA
B10,1Silent,HIGH,GLU,5,DNA
B11,2Silent,HIGH,GLU,5,DNA
B12,3Silent,HIGH,GLU,5,DNA
C1,1LHON,LOW,GLU,5,DNA
C2,2LHON,LOW,GLU,5,DNA
C3,3LHON,LOW,GLU,5,DNA
C4,1Silent,LOW,GLU,5,DNA
C5,2Silent,LOW,GLU,5,DNA
C6,3Silent,LOW,GLU,5,DNA
C7,1LHON,HIGH,GAL,5,DNA
C8,2LHON,HIGH,GAL,5,DNA
C9,3LHON,HIGH,GAL,5,DNA
C10,1Silent,HIGH,GAL,5,DNA
C11,2Silent,HIGH,GAL,5,DNA
C12,3Silent,HIGH,GAL,5,DNA
D1,1LHON,LOW,GAL,5,DNA
D2,2LHON,LOW,GAL,5,DNA
D3,3LHON,LOW,GAL,5,DNA
D4,1Silent,LOW,GAL,5,DNA
D5,2Silent,LOW,GAL,5,DNA
D6,3Silent,LOW,GAL,5,DNA
D7,1LHON,HIGH,GLU,10,DNA
D8,2LHON,HIGH,GLU,10,DNA
D9,3LHON,HIGH,GLU,10,DNA
D10,1Silent,HIGH,GLU,10,DNA
D11,2Silent,HIGH,GLU,10,DNA
D12,3Silent,HIGH,GLU,10,DNA
E1,1LHON,HIGH,GLU,15,DNA
E2,2LHON,HIGH,GLU,15,DNA
E3,3LHON,HIGH,GLU,15,DNA
E4,1Silent,HIGH,GLU,15,DNA
E5,2Silent,HIGH,GLU,15,DNA
E6,3Silent,HIGH,GLU,15,DNA
F1,1LHON,HIGH,0,0,RNA
F2,2LHON,HIGH,0,0,RNA
F3,3LHON,HIGH,0,0,RNA
F4,1Silent,HIGH,0,0,RNA
F5,2Silent,HIGH,0,0,RNA
F6,3Silent,HIGH,0,0,RNA
F7,1LHON,HIGH,GLU,5,RNA
F8,2LHON,HIGH,GLU,5,RNA
F9,3LHON,HIGH,GLU,5,RNA
F10,1Silent,HIGH,GLU,5,RNA
F11,2Silent,HIGH,GLU,5,RNA
F12,3Silent,HIGH,GLU,5,RNA
G1,1LHON,HIGH,GLU,10,RNA
G2,2LHON,HIGH,GLU,10,RNA
G3,3LHON,HIGH,GLU,10,RNA
G4,1Silent,HIGH,GLU,10,RNA
G5,2Silent,HIGH,GLU,10,RNA
G6,3Silent,HIGH,GLU,10,RNA
G7,1LHON,HIGH,GLU,15,RNA
G8,2LHON,HIGH,GLU,15,RNA
G9,3LHON,HIGH,GLU,15,RNA
G10,1Silent,HIGH,GLU,15,RNA
G11,2Silent,HIGH,GLU,15,RNA
G12,3Silent,HIGH,GLU,15,RNA
